ric,data_load,capitalization,current_price,ticker
AGMa.N,2026-03-24,1.510501,117.06,AGMa.N
AGNC.O,2026-03-24,11.243626,10.01,AGNC.O
AGNCL.O,2026-03-24,11.243626,25.05,AGNCL.O
AGNCM.O,2026-03-24,11.243626,24.63,AGNCM.O
AGNCN.O,2026-03-24,11.243626,25.4,AGNCN.O
AGNCZ.O,2026-03-24,11.243626,25.12,AGNCZ.O
AGO.N,2026-03-24,3.653982,81.45,AGO.N
AGRO.K,2026-03-24,1.880588,13.19,AGRO.K
AGRO.N,2026-03-24,1.880588,13.19,AGRO.N
AGRPY.PK,2026-03-24,12.335725,29.23,AGRPY.PK
AGX.N,2026-03-24,6.42547,463.15,AGX.N
AGYS.O,2026-03-24,2.037567,72.49,AGYS.O
AHCHY.PK,2026-03-24,17.046363,13.53,AHCHY.PK
AHCO.O,2026-03-24,1.409437,10.37,AHCO.O
AHEXY.PK,2026-03-24,3.90753,11.68,AHEXY.PK
AHKSY.PK,2026-03-24,13.189424,19.11,AHKSY.PK
AHL.N,2026-03-24,0.2063,37.5,AHL.N
AHL_pd.N,2026-03-24,0.2063,20.52,AHL_pd.N
AHODF.PK,2026-03-24,41.306272,49.02,AHODF.PK
AHR.N,2026-03-24,9.038532,48.07,AHR.N
AI.N,2026-03-24,1.266939,8.72,AI.N
AIAGY.PK,2026-03-24,7.872308,93.7,AIAGY.PK
AIBGY.PK,2026-03-24,22.463324,21.23,AIBGY.PK
AIBRF.PK,2026-03-24,22.463324,10.34,AIBRF.PK
AICLY.PK,2026-03-24,5.496564,18.7,AICLY.PK
AIFLY.PK,2026-03-24,1.391796,1.4,AIFLY.PK
AIG.N,2026-03-24,40.290265,75.09,AIG.N
AIIXY.PK,2026-03-24,4.472741,80.41,AIIXY.PK
AIN.N,2026-03-24,1.440187,50.89,AIN.N
AIPUY.PK,2026-03-24,20.809706,12.22,AIPUY.PK
AIQUY.PK,2026-03-24,110.966036,38.49,AIQUY.PK
AIR.N,2026-03-24,4.095359,103.49,AIR.N
AIRYY.PK,2026-03-24,15.509319,12.29,AIRYY.PK
AIT.N,2026-03-24,9.781819,262.23,AIT.N
AITUY.PK,2026-03-24,2.430028,13.71,AITUY.PK
AIZ.N,2026-03-24,10.806221,217.43,AIZ.N
AIZN.N,2026-03-24,10.806221,20.1,AIZN.N
AJG.N,2026-03-24,55.723854,216.74,AJG.N
AJINY.PK,2026-03-24,0.0,0.0,AJINY.PK
AJMPF.PK,2026-03-24,1.939482,2.7,AJMPF.PK
AKAM.O,2026-03-24,16.579547,114.43,AKAM.O
AKBDY.PK,2026-03-24,8.58171,0.0,AKBDY.PK
AKBTY.PK,2026-03-24,8.58171,3.28,AKBTY.PK
AKCLY.PK,2026-03-24,1.549939,11.83,AKCLY.PK
AKOa.N,2026-03-24,3.885656,22.15,AKOa.N
AKOb.N,2026-03-24,3.885656,26.66,AKOb.N
AKR.N,2026-03-24,2.544785,19.42,AKR.N
AKRBY.PK,2026-03-24,21.776777,16.65,AKRBY.PK
AKRYY.PK,2026-03-24,2.226409,9.18,AKRYY.PK
AKTS.O,2026-03-24,0.920807,18.18,AKTS.O
AKZOY.PK,2026-03-24,9.55898,18.76,AKZOY.PK
AL.N,2026-03-24,7.249811,64.71,AL.N
ALAB.O,2026-03-24,21.08447,123.87,ALAB.O
ALB.N,2026-03-24,19.74648,167.56,ALB.N
ALBBY.PK,2026-03-24,9.849768,15.5,ALBBY.PK
ALBKY.PK,2026-03-24,8.719398,0.94,ALBKY.PK
ALC.N,2026-03-24,37.067545,74.14,ALC.N
ALCTY.PK,2026-03-24,52.82198,0.0,ALCTY.PK
ALEDY.PK,2026-03-24,1.255961,5.0,ALEDY.PK
ALEUY.PK,2026-03-24,7.559752,7.4,ALEUY.PK
ALEX.K,2026-03-24,1.518725,20.84,ALEX.K
ALEX.N,2026-03-24,1.518725,20.84,ALEX.N
ALFRY.PK,2026-03-24,2.940198,16.23,ALFRY.PK
ALFVY.PK,2026-03-24,22.512731,54.98,ALFVY.PK
ALG.N,2026-03-24,2.035329,167.26,ALG.N
ALGGY.PK,2026-03-24,1.204908,6.7,ALGGY.PK
ALGM.O,2026-03-24,5.881132,31.74,ALGM.O
ALGN.O,2026-03-24,12.892086,180.86,ALGN.O
ALGT.O,2026-03-24,1.519362,82.34,ALGT.O
ALH.N,2026-03-24,3.921285,19.81,ALH.N
ALHC.O,2026-03-24,3.577232,17.51,ALHC.O
ALIZY.PK,2026-03-24,154.476983,40.63,ALIZY.PK
ALK.N,2026-03-24,4.428599,38.63,ALK.N
ALKRY.PK,2026-03-24,1.302114,0.0,ALKRY.PK
ALKS.O,2026-03-24,4.61787,27.71,ALKS.O
ALKT.O,2026-03-24,1.800273,16.96,ALKT.O
ALL.N,2026-03-24,53.921167,207.76,ALL.N
ALLE.K,2026-03-24,12.373076,143.63,ALLE.K
ALLE.N,2026-03-24,12.373076,143.63,ALLE.N
ALLY.K,2026-03-24,12.076554,39.22,ALLY.K
ALLY.N,2026-03-24,12.076554,39.22,ALLY.N
ALM.O,2026-03-24,4.740978,16.93,ALM.O
ALMRY.PK,2026-03-24,2.828018,14.28,ALMRY.PK
ALMS.O,2026-03-24,2.971376,23.36,ALMS.O
ALNPY.PK,2026-03-24,10.22407,3.6,ALNPY.PK
ALNT.O,2026-03-24,1.072644,63.32,ALNT.O
ALNY.O,2026-03-24,40.670213,306.66,ALNY.O
