ric,current_price,capitalization
ASTS.O,67.58,26.229459
ASUTZ.PK,2.74,16.28982
ASX.N,40.56,93.107731
ASXFY.PK,37.72,7.411138
ATAI.O,4.97,1.829788
ATAT.O,31.41,4.273117
ATDRY.PK,1.63,5.266619
ATEAY.PK,8.9,1.863826
ATEC.O,9.74,1.497908
ATEN.K,36.79,2.648813
ATEN.N,36.79,2.648813
ATEYY.PK,175.16,130.473375
ATGE.K,105.64,3.65
ATGSY.PK,0.0,12.003028
ATHM.K,20.37,2.294134
ATHM.N,20.37,2.294134
ATHNY.PK,0.0,3.769608
ATHOF.PK,7.71,3.717377
ATHS.N,24.64,4.926996
ATI.N,183.75,25.076441
ATKR.K,71.68,2.420438
ATKR.N,71.68,2.420438
ATLCY.PK,17.0,92.628061
ATLKY.PK,19.41,92.628061
ATMU.K,51.25,4.185712
ATMU.N,51.25,4.185712
ATO.N,179.5,29.962108
ATOGY.PK,5.37,6.210997
ATR.N,124.89,7.970519
ATRC.O,34.8,1.762306
ATRO.O,72.03,2.581863
ATROB.PK,71.91,2.581863
ATS.N,27.3,2.682895
ATUSF.PK,43.37,2.436646
ATVDY.PK,5.36,1.236624
ATVK.PK,9.75,5.978961
ATWNY.PK,0.0,3.79963
ATZAF.PK,105.55,12.25782
ATZIY.PK,0.0,12.25782
AU.N,79.76,40.327438
AUB.N,42.02,6.013721
AUGO.O,53.51,4.483561
AUKNY.PK,24.69,8.634899
AUOTY.PK,8.94,6.877029
AUPH.O,16.03,2.061485
AUR.O,6.05,11.865279
AVA.N,42.08,3.477425
AVAH.O,9.67,2.105693
AVAL.K,4.91,5.948259
AVAL.N,4.91,5.948259
AVAV.O,141.8,7.176219
AVB.N,194.53,27.598374
AVDL.O,21.64,2.124041
AVEGY.PK,0.0,1.265853
AVEX.N,15.91,1.814403
AVGO.O,384.05,1827.148675
AVHNY.PK,26.3,10.126815
AVIFY.PK,11.7,33.633169
AVNS.N,24.93,1.167916
AVNT.K,35.57,3.262131
AVNT.N,35.57,3.262131
AVPT.O,12.68,2.688378
AVSFY.PK,25.0,2.003288
AVT.O,85.15,6.98435
AVTR.K,10.56,7.209897
AVTR.N,10.56,7.209897
AVVIY.PK,17.59,26.36162
AVVSY.PK,8.7,1.622327
AVY.N,159.24,12.180329
AWATY.PK,13.74,3.583662
AWI.N,155.69,6.644668
AWK.N,131.53,25.685247
AWR.N,85.05,3.333335
AX.N,97.16,5.526911
AXAHF.PK,50.9,105.760031
AXAHY.PK,50.45,105.760031
AXBKY.PK,5.3,43.06066
AXFOY.PK,27.24,5.966471
AXGN.O,39.49,2.099992
AXIA.N,10.21,30.012193
AXIA_p.N,0.0,0.0
AXIA_pc.N,10.84,34.27
AXON.O,547.03,44.091754
AXP.N,354.43,241.836961
AXS.N,114.52,8.442785
AXS_pe.N,18.87,8.442785
AXSM.O,228.28,11.747235
AXTA.K,32.07,6.863582
AXTA.N,32.07,6.863582
AXTI.O,50.46,3.301254
AYAAY.PK,5.0,3.707801
AYALY.PK,7.5,5.003384
AYI.N,325.36,9.73983
AZBLY.PK,18.41,5.625
AZLGY.PK,5.5,2.89803
AZLUD.PK,8.77,1.62388
AZLUY.PK,8.77,1.62388
AZN.N,169.47,261.02603
AZNCF.PK,169.47,261.02603
AZO.N,3078.98,50.265442
AZSAY.PK,0.0,1.62388
AZTA.O,26.05,1.200718
AZUXY.PK,0.0,1.62388
AZZ.N,146.49,4.402244
AZZRY.PK,0.0,16.919618
B.N,35.94,60.147352
BA.N,215.51,169.887035
BABA.K,112.35,269.310256
BABA.N,112.35,269.310256
BABAF.PK,13.5,269.310256
BABWF.PK,6.17,27.156968
BAC.N,59.5,422.247144
BAC_pe.N,18.54,422.247144
BAC_pl.N,1264.66,422.247144
BAC_pm.N,21.25,422.247144
BACHF.PK,0.65,262.845508
BACHY.PK,16.2,262.845508
